Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount
740,2024-03-05,10580,14030,2024-06-04,0.0
740,2024-03-05,10580,14030,2024-06-11,0.0
740,2024-03-05,10580,14030,2024-06-18,0.0
740,2024-03-05,10580,14030,2024-06-25,1000.0
740,2024-03-05,10580,14030,2024-07-02,800.0
740,2024-03-05,10580,14030,2024-07-09,600.0
740,2024-03-05,10580,14030,2024-07-16,600.0
740,2024-03-05,10580,14030,2024-07-23,0.0
740,2024-03-05,10580,14030,2024-07-30,600.0
740,2024-03-05,10580,14030,2024-08-06,600.0
740,2024-03-05,10580,14030,2024-08-13,600.0
740,2024-03-05,10580,14030,2024-08-20,900.0
740,2024-03-05,10580,14030,2024-08-27,0.0
740,2024-03-05,10580,14030,2024-09-03,1000.0
740,2024-03-05,10580,14030,2024-09-10,1000.0
740,2024-03-05,10580,14030,2024-09-17,300.0
741,2024-03-05,10520,14040,2024-03-12,2340.0
741,2024-03-05,10520,14040,2024-04-09,2340.0
741,2024-03-05,10520,14040,2024-05-07,2340.0
741,2024-03-05,10520,14040,2024-06-04,2340.0
741,2024-03-05,10520,14040,2024-07-02,2340.0
741,2024-03-05,10520,14040,2024-07-30,2340.0
742,2024-03-05,13580,17950,2024-03-12,748.0
742,2024-03-05,13580,17950,2024-03-19,748.0
742,2024-03-05,13580,17950,2024-03-26,748.0
742,2024-03-05,13580,17950,2024-04-02,748.0
742,2024-03-05,13580,17950,2024-04-09,748.0
742,2024-03-05,13580,17950,2024-04-16,748.0
742,2024-03-05,13580,17950,2024-04-23,748.0
742,2024-03-05,13580,17950,2024-04-30,748.0
742,2024-03-05,13580,17950,2024-05-07,748.0
742,2024-03-05,13580,17950,2024-05-14,748.0
742,2024-03-05,13580,17950,2024-05-21,748.0
742,2024-03-05,13580,17950,2024-05-28,748.0
